"","Search","Program","Date","Title","Company","Location","Description"
"186","data scientist","MSBA","2022-08-19","Data Scientist","NR Consulting LLC","Taylorsville, UT","* PLEASE NOTE: The clients would like recruiting with a max bill rate of *** Please submit all bids with a 1.00 placeholder bid. Once bids are reviews and interview selections are made, bids will be submitted as BAFO when requested. Please DO NOT use Cover sheets with bids listed.*  Full SOW requirement and MMR template are available to download in the attac..."
"187","data analyst","MSBA","2022-08-19","Data Analyst","Nursa","Murray, UT","* $75,000+ DOE | Salary | Full-time | Benefits *  Job Description *  Nursa is looking for a curious and creative Data Analyst to apply a set of strategic and analytical skills to develop and test solutions supporting our leaders and business partners across our organization. You will team up with world-class professionals in a collaborative environment that ..."
"188","data architect","MSIS","2022-08-19","Staff Data Architect (Remote - US)","PDQ","Remote in Salt Lake City, UT 84121","* *  PDQ, founded in Salt Lake City, UT, makes device management simple, secure, and *  Pretty *  Damn *  Quick. IT teams use our products to reduce complexity, improve efficiency, and enhance control in their unique environments. We are backed by TA Associates, a top-tier global PE fund. SimpleMDM and SmartDeploy are powered by PDQ.com.*  * * *  PDQ Enginee..."
"189","data engineer","MSIS","2022-08-19","Senior Data Engineer for Education Start up","Recruiting From Scratch","Remote in Provo, UT 84604+1 location","* Who is Recruiting from Scratch:*  Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is 100% remote and we work with teams across the United States to help them hire. We work with companies funded by the best investors including Sequoia Capital,..."
"190","data engineer","MSIS","2022-08-19","AVP, Principal Data Engineer","Synchrony Financial","Draper, UT","* *  Job Description:*  *   Role Summary/Purpose:*  *   We are looking for a Principal Data Engineer to develop leading edge software capabilities for Synchrony's fraud team, utilizing Spark technologies integrated with advanced analytics and specialized fraud logic. This role is an exciting, fast-paced, constantly changing, and challenging work environment,..."
"191","cloud engineer","MSIS","2022-08-19","Cloud Engineer 1","The Church of Jesus Christ of Latter-day Saints","Riverton, UT 84065","* The Cloud Engineer 1 is an entry-level professional position responsible for the systems, on-prem infrastructure and services needed to bridge cloud and on-prem architecture. This position generally works under the direction of other cloud engineers and completes specific assigned tasks in support of the overall solution. This individual works with divine ..."
"192","data analyst","MSBA","2022-08-19","GSD Data Analyst 2","The Church of Jesus Christ of Latter-day Saints","Salt Lake City, UT 84103 (Capitol Hill area)","* The Global Service Department (GSD) is key in helping the Church grow and operate efficiently throughout the world. Our mission is to bring souls unto Christ by “serving members, leaders, and employees globally in a simple and efficient way.” The data analyst will provide department leadership with reliable data from trusted source systems that will empowe..."
"193","data engineer","MSIS","2022-08-19","Data Warehouse Engineer","Vivint Smart Home","Lehi, UT 84043","* Job Description*  Our mission is to redefine the home experience with tech and services to create a smarter, greener, safer home that saves our customers money every month.* *  Summary:*  As a Data Warehouse Engineer on our Data Engineering team, you will be responsible for developing the core service that provides data to the entire enterprise. You will b..."
"194","data warehouse engineer","MSIS","2022-08-19","Data Warehouse Engineer","Vivint Smart Home","Lehi, UT 84043","* Job Description*  Our mission is to redefine the home experience with tech and services to create a smarter, greener, safer home that saves our customers money every month.* *  Summary:*  As a Data Warehouse Engineer on our Data Engineering team, you will be responsible for developing the core service that provides data to the entire enterprise. You will b..."
"195","business intelligence analyst","MSIS","2022-08-18","BI analyst Entry Level (Bootcamp)","Helm360","Provo, UT","Business Intelligence Analyst responsibilities*Develop and manage BI solutions* Provide reports, processes and Excel VBA applications through the application life cycle* Collaborate with business users* Analyze business processes and requirements* Create and maintain documentation including requirements, design and user manuals* Identify opportunities to imp..."
"196","data analyst","MSBA","2022-08-18","IT Data Analyst, Senior","HX5, LLC","South Ogden, UT","* *  IT Data Analyst, SeniorHill, AFBOgden, Utah *   HX5 is an award-winning provider of engineering, research and development, and technical services to clients such as NASA and the Department of Defense. Founded in 2004, HX5 is a fast-growing veteran- and woman-owned company with locations nationwide. HX5 is currently seeking a Software Product Support Eng..."
"197","business intelligence analyst","MSIS","2022-08-18","Business Intelligence Analyst","Motion Industries","Ogden, UT 84401","* *  Motion Industries' employees provide the highest levels of customer service. Our Business Analysts aid in contract implementation, cost savings, inventory management, etc. Motion offers an excellent benefits package that includes options for healthcare coverage, 401(k), tuition reimbursement, vacation, sick, and holiday pay.* * * *   Overview*  * *   Mo..."
"198","database administrator","MSIS","2022-08-18","Senior SQL Database Administrator","NEOGOV","Remote in Draper, UT 84020","* *  *   About*   *  *  *   *    This is a remote role from anywhere in the US.*   *   *   *     NEOGOV is a proud SaaS leader in the Public Sector for HR, Recruiting, employee development, and management. Through the NEOGOV HR Suite, our passion is to bring efficient and more innovative solutions to public sector organizations. We are in business to *    se..."
"199","data analyst","MSBA","2022-08-18","Data Analyst","Nursa","Murray, UT","** $75,000+ DOE | Salary | Full-time | Benefits *  Job Description *  Nursa is looking for a curious and creative Data Analyst to apply a set of strategic and analytical skills to develop and test solutions supporting our leaders and business partners across our organization. You will team up with world-class professionals in a collaborative environment that..."
"200","security manager","MSCM","2022-08-18","People Ops People Technology - Workday Security Manager","PRICE WATERHOUSE COOPERS","Remote in Salt Lake City, UT 84111","* A career in our Human Resources, within Internal Firm Services, will provide you with the opportunity to make a difference at PwC by helping to fully leverage the skills and talents of all our people. You’ll focus on helping the local offices in driving the Firm’s people strategy, creating a unique people experience for each individual, and supporting our ..."
"201","data scientist","MSBA","2022-08-18","Newborn Screening Data Scientist","Spectrum Talent Management","Salt Lake City, UT 84114 (Capitol Hill area)","Skills Mandatory: *Python Experience* Machine Learning expertise* AWS, S3, Sagemaker* Experience working on biological data sheets* Experience with Python* Experience with pandas* Experience with AWS technologies, SageMaker, Terraform scripting* Experience with Git and GitHub* Communicate ?? information and ideas clearly, and concisely, in writing;* read and..."
"202","security analyst","MSCM","2022-08-18","Sr. Information Security Analyst","TTU","Salt Lake City, UT 84115 (People's Freeway area)","Job Description:*Implement, administer and manage firewalls and other security appliances* Troubleshoot and provide remediation solutions for issues related to firewalls and other security appliances* Analyze and resolve technical problems for established environments* Perform special project related tasks as assigned* Comply with policies and procedures as ..."
"203","information security analyst","MSCM","2022-08-18","Sr. Information Security Analyst","TTU","Salt Lake City, UT 84115 (People's Freeway area)","Job Description:*Implement, administer and manage firewalls and other security appliances* Troubleshoot and provide remediation solutions for issues related to firewalls and other security appliances* Analyze and resolve technical problems for established environments* Perform special project related tasks as assigned* Comply with policies and procedures as ..."
"204","database administrator","MSIS","2022-08-17","Intermediate SQL Database Administrator","Dine Development Corporation","Ogden, UT","* Job Summary:: * *   DDC- IT Services is seeking an individual to fill the role of *  Intermediate SQL DBA. This person will work with a team of DBAs responsible for the day-to-day database management of our customers SQL Database infrastructure. This infrastructure is used to monitor and manage cyber resiliency and access of data across DISA’s domain. You ..."
"205","cloud engineer","MSIS","2022-08-17","AWS Cloud Engineer","KTEK RESOURCING LLC","Salt Lake City, UT","Skills: *Java -8* Microservices* Springboot* AWS* AWS Lambda* Kafka* AWS Serverless Key* AWS S3* Dynamo DB* Route 53*Job Type: Full-time*Salary: $140,000.00 - $160,000.00 per year*Benefits:*401(k)* 401(k) matching* Dental insurance* Flexible schedule* Health insurance* Paid time off* Parental leave* Relocation assistance* Vision insurance*Schedule:*8 hour sh..."
"206","data analyst","MSBA","2022-08-17","Data Analyst / Jr Data Scientist","MoneyDolly","Remote in Salt Lake, UT","* Description* *  MoneyDolly is a growth-stage startup transforming the fundraising scene in North America to put more money into the hands of students and teams. Our one-stop app gives students the tools that they need to make their fundraisers a success!* *  This 4-5 billion dollar industry has been severely underrepresented in tech, and the market recepti..."
"207","data scientist","MSBA","2022-08-17","Data Analyst / Jr Data Scientist","MoneyDolly","Remote in Salt Lake, UT","* Description* *  MoneyDolly is a growth-stage startup transforming the fundraising scene in North America to put more money into the hands of students and teams. Our one-stop app gives students the tools that they need to make their fundraisers a success!* *  This 4-5 billion dollar industry has been severely underrepresented in tech, and the market recepti..."
"208","data analyst","MSBA","2022-08-16","Analyst I, Financial Planning & Analysis","CardWorks","South Jordan, UT 84095","Merrick Bank employees share in our mission to delight our customers and empower underserved consumers to achieve their credit goals. In return, we delight our associates; ensuring they are noticed, heard, appreciated and understand the importance of their role(s). For over 20 years, our Guiding Principles of; doing the right thing, putting the customer firs..."
"209","data scientist","MSBA","2022-08-16","Pre Sales Data Scientist","Explorium","Lehi, UT","* Pre Sales Data Scientist* *  Explorium is a cutting-edge data science company that has recently closed a Series C round bringing their total funding to $127 million.* *  Explorium offers a first of its kind data science platform powered by augmented data discovery and feature engineering. By automatically connecting to thousands of external data sources an..."
"210","security manager","MSCM","2022-08-16","Security Manager","Jacobs","Hill AFB, UT 84056","* Challenging Today. Reinventing Tomorrow. *  We're invested in you and your success. Everything we do is more than just a project. It's our challenge as human beings, too. That's why we bring a thoughtful and collaborative approach to every one of our partnerships. *  At Jacobs, we challenge the status quo and redefine how to solve the world's greatest chal..."
"211","data engineer","MSIS","2022-08-16","Data Engineer","JOURNEYTEAM","Draper, UT 84020","* What you're about to read isn't your typical job description, and that's simply because we're not looking for any ordinary person to join our team. If you find yourself thinking, ""Hey, this place sounds awesome,"" AND ""I totally fit this bill,"" then we want you! Just know that we will absolutely hold off on hiring until we find the right person, BUT that th..."
"212","security analyst","MSCM","2022-08-16","Lead Security Analyst","Morgan Stanley","Sandy, UT","* *  Lead Security Analyst* * *  *    *   *  * * *   Job Number: *  3219231* * *   POSTING DATE: Aug 15, 2022* * *   PRIMARY LOCATION: Americas-United States of America-Utah-Sandy* * *   EDUCATION LEVEL: Bachelor's Degree* * *   JOB: Threat Management* * *   EMPLOYMENT TYPE: Full Time* * *   JOB LEVEL: Vice President* * *  *    *   *  *   DESCRIPTION* * *  *..."
"213","data engineer","MSIS","2022-08-16","Data Engineer","Zions Bancorporation","Midvale, UT 84047","* Zions Bancorporation is seeking a Data Engineer to join its Credit Systems team. As a Data Engineer, you’ll provide your talents in contributing to the success of the Zions team by delivering all aspects of the software development lifecycle, including design, coding, integration testing, deployment, operations support and documentation using Agile methodo..."
"214","data architect","MSIS","2022-08-16","Sr. Data Operations Engineer (Cloud/Data Analytics)","Zions Bancorporation","Hybrid remote in Midvale, UT 84047","* Zions Bancorporation is currently seeking a Sr. Data Operations Engineer (Cloud/Data Analytics) to join our Enterprise Data Platforms team. As a Sr. Data Operations Engineer, you will be playing an essential role in developing and deploying enterprise grade platforms that enable data-driven solutions. As a Data Operations Engineer you will be part of an ag..."
"215","business intelligence analyst","MSIS","2022-08-16","Business Intelligence Analyst III (Remote/Hybrid WFH)","Zions Bancorporation","Hybrid remote in Midvale, UT 84047","* About Zions Bancorporation*  * Did you know Zions Bancorporation is one of the nation’s premier financial services companies with total assets exceeding $70 billion? With local management teams at the helm in 11 western states, Zions is dedicated to making a difference in their local communities.*  * We are transforming what it means to work for a financia..."
"216","data analyst","MSBA","2022-08-16","Business Information Analyst - Financial Data Management","Zions Bancorporation","Midvale, UT 84047","* Zions Bancorporation has just opened an opportunity for an experienced Data Analyst within the Enterprise Data and Analytic “EDA” department based in the heart of Salt Lake City. If you are ready to move your career forward, read on.* * Zions Bancorporation is transforming what it means to work for a financial institution. We operate in a fast-paced, infor..."
"217","data scientist","MSBA","2022-08-15","Remote Senior Data Scientist NLP","First American Financial Corporation","Remote in Salt Lake City, UT 84111","* Company Summary* *  Join a team that puts its People First! As a member of First American’s family of companies, Data & Analytics is a national provider of property-centric information, analytics, risk management and valuation solutions. First American maintains and curates the industry’s largest property and ownership dataset with over 7 billion document ..."
"218","data architect","MSIS","2022-08-15","Digital Products- Senior Manager Sr. Solutions Architect","PRICE WATERHOUSE COOPERS","Remote in Salt Lake City, UT 84111","* A career in Products and Technology is an opportunity to bring PwC's strategy to life by driving products and technology into everything we deliver. Our clients expect us to bring the right people and the right technology to solve their biggest problems; Products and Technology is here to help PwC meet that challenge and accelerate the growth of our busine..."
"219","security systems engineer","MSCM","2022-08-14","Staff Cybersecurity Systems Engineer","Northrop Grumman","Roy, UT 84067+3 locations","* Requisition ID: R10061437 * Category: Information Technology *  Location: Roy, Utah, United States of America *  Citizenship Required: United States Citizenship *  Clearance Type: Secret *  Telecommute: No- Teleworking not available for this position *  Shift: 1st Shift (United States of America) *  Travel Required: Yes, 10% of the Time *  Positions Availa..."
"220","data architect","MSIS","2022-08-14","Oracle Solutions Architect - Data & Analytics Senior Associa...","PRICE WATERHOUSE COOPERS","Remote in Salt Lake City, UT 84111+3 locations","* A career in Oracle consulting will provide you with the opportunity to help organisations use enterprise technology to achieve their digital technology goals and capitalise on business opportunities. We help our clients implement and effectively use Oracle offerings to solve their business problems and fuel success in the areas of finance, operations, huma..."
"221","data analyst","MSBA","2022-08-14","Business Data Analyst","University of Utah","Remote in Salt Lake City, UT 84112","* *  Announcement *  *   *    *     Details *    *    *    *     *      *       *        Open Date*        *       *        08/12/2022*        *      *      *       *        Requisition Number*        *       *        PRN12852N*        *      *      *       *        Job Title*        *       *        Business Data Analyst*        *      *      *       *     ..."
"222","data architect","MSIS","2022-08-13","Sr. Data Architect, DataLake","Amazon Web Services, Inc.","North Salt Lake, UT 84054","Bachelor’s degree, or equivalent experience, in Computer Science, Engineering, Mathematics or a related field*  8+ years of experience of IT platform implementation in a technical and analytical role.*  5+ years’ experience of Data Lake/Hadoop platform implementation*  3+ years of hands-on experience in implementation and performance tuning Hadoop/Spark impl..."
"223","data analyst","MSBA","2022-08-13","Senior Business Analyst, Brand Marketing (TV Analytics)","Angi","Remote in Salt Lake City, UT","* *  Angi® is transforming the home services industry, creating an environment for homeowners, service professionals and employees to feel right at ""home."" For most home maintenance needs, our platform makes it easier than ever to find a qualified service professional for indoor and outdoor jobs, home renovations (or anything in between!). We are on a missio..."
"224","cloud engineer","MSIS","2022-08-13","Senior Cloud Engineer -- US Remote","Arcserve","Remote in Draper, UT 84020","* *  We are looking for Senior Cloud engineer to join our team. In this role, you will learn the workings of an award-winning revenue-generating product built upon primarily open source technologies, and the way in which they have been deployed and configured to operate a stable product which is set to grow and evolve into a more contemporary infrastructure ..."
"225","data architect","MSIS","2022-08-13","System Architect","Bitt Inc.","Draper, UT","** About Bitt* *  Founded in 2014, Bitt is a small, multinational fintech company which builds, supports and maintains blockchain-based digital currency solutions for Central Banks and other Financial Institutions. Our Mission is to promote financial empowerment, social inclusion and economic growth for nearly two billion unbanked people around the world. Ou..."
"226","data analyst","MSBA","2022-08-13","Senior Associate, Data Analyst Learning Deployment","KPMG","Salt Lake City, UT 84101 (Downtown area)","* Known for being a great place to work and build a career, KPMG provides audit, tax and advisory services for organizations in today’s most important industries. Our growth is driven by delivering real results for our clients. It’s also enabled by our culture, which encourages individual development, embraces an inclusive environment, rewards innovative exc..."
"227","data engineer","MSIS","2022-08-13","Data Engineer III","Myriad Genetics Inc.","Salt Lake City, UT 84108 (East Bench area)","* Responsibilities * Contribute to the development and implementation of Myriadâ€™s Enterprise Data Management strategy. *  Lead integrations with various enterprise applications to enable data availability and accessibility. *  Assemble large, complex data sets that meet functional / non-functional business requirements. *  Identify, design, and implement i..."
"228","security systems engineer","MSCM","2022-08-13","Staff Cybersecurity Systems Engineer","Northrop Grumman","Roy, UT 84067+1 location","* Requisition ID: R10061437 * Category: Information Technology *  Location: Roy, Utah, United States of America *  Citizenship Required: United States Citizenship *  Clearance Type: Secret *  Telecommute: No- Teleworking not available for this position *  Shift: 1st Shift (United States of America) *  Travel Required: Yes, 10% of the Time *  Positions Availa..."
"229","data analyst","MSBA","2022-08-13","Entry Level Data Analyst (Bootcamp)","PCS GLOBAL TECH","Salt Lake City, UT","Responsibilities*Interpret data, analyze results using statistical techniques and provide ongoing reports* Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality* Acquire data from primary or secondary data sources and maintain databases/data systems* Identify, analyze, a..."
"230","data architect","MSIS","2022-08-13","Oracle Solutions Architect - Data & Analytics Senior Associa...","PRICE WATERHOUSE COOPERS","Remote in Salt Lake City, UT 84111+4 locations","* A career in Oracle consulting will provide you with the opportunity to help organisations use enterprise technology to achieve their digital technology goals and capitalise on business opportunities. We help our clients implement and effectively use Oracle offerings to solve their business problems and fuel success in the areas of finance, operations, huma..."
"231","data engineer","MSIS","2022-08-13","Senior Data Infrastructure Engineer","Recruiting From Scratch","Remote in Salt Lake City, UT 84103+1 location","* Who is Recruiting from Scratch: * *  Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is 100% remote and we work with teams across the United States to help them hire. * * * *  *   *    About our Client *    Our client's mission is to make the..."
"232","data engineer","MSIS","2022-08-13","Sr. Data Engineer (REMOTE)","Ryder System","Remote in Salt Lake City, UT 84190","* Current Employees: * If you are a current employee at Ryder (not a Contractor or temporary employee through a staffing agency), please click here (http://wd5.myworkday.com/ryder/d/task/1422$3.htmld) to log in to Workday to apply using the internal application process. To learn how to apply for a position using the Career worklet, please review this quick r..."
"233","data analyst","MSBA","2022-08-13","Business Data Analyst","University of Utah","Remote in Salt Lake City, UT 84112","Announcement * Details * Open Date *08/12/2022 * Requisition Number *PRN12852N * Job Title *Business Data Analyst * Working Title *Business Data Analyst * Job Grade *F * FLSA Code *Computer Employee * Patient Sensitive Job Code? * Type *Non Benefited Staff / Student * Temporary? *No * Standard Hours per Week *10 * Full Time or Part Time? *Part Time * Shift *..."
"234","data engineer","MSIS","2022-08-13","Data Engineer","V-Soft Consulting Group, Inc.","Salt Lake City, UT 84108 (East Bench area)","* Data Engineer * Primary Location – Salt Lake City, Utah*  * V-Soft Consulting is currently hiring for a Data Engineer for our premier client in Salt Lake City, Utah. This is a 6-month contract position.*  * SLC UT or TX, NC.*  * Education and Experience » * Experience with AWS for data migrations or other on prem to cloud platform migration experience will..."
"235","data analyst","MSBA","2022-08-12","Data Analyst","Enium Capital Group","Pleasant Grove, UT 84062","Enium Capital Group is seeking a Data Analyst to join our expanding technology team. As a technology team member, you will be responsible for delivering valuable data and insights for lenders, dealers, funding, and sales operations. You will work with multiple teams organized around specific products or business processes.*The ideal candidate will be passion..."
"236","data scientist","MSBA","2022-08-12","Associate Data Scientist","Extra Space Storage","Salt Lake City, UT","* At Extra Space Storage, what matters to you, matters to us! Join a company that cares about you. *  It is an exciting time to be at Extra Space. We have been featured on multiple ""Best Places to Work"" awards, including Forbes and Glassdoor. We’re an S&P 500 company that hasn’t stopped growing since our founding in 1977. Today we are leading the self-storag..."
"237","data analyst","MSBA","2022-08-12","Data Analyst / Web Developer","First Colony Mortgage","Pleasant Grove, UT 84062","At First Colony Mortgage, we want to be different. Yes, we want to do many loans and help make the mortgage process simple and easy, but there is more than that. We're not just boring paper-pushers. We put focus on our relationships, both with our customers and real estate professionals. We want to make getting a mortgage a good time, believe it or not. Our ..."
"238","data scientist","MSBA","2022-08-12","Associate Data Scientist","InMoment","South Jordan, UT 84095","* ASSOCIATE DATA SCIENTIST* *  YOUR OPPORTUNITY *  You could be our next Associate Data Scientist! We are looking for a top-notch solution designer to support our product, sales, leadership and marketing teams with insights gained from analyzing company data. If you are adept at using large data sets to find opportunities for product and process optimization..."
"239","data scientist","MSBA","2022-08-12","Solution Designer | Remote","InMoment","Remote in South Jordan, UT 84095","* YOUR OPPORTUNITY *  You could be our next Solution Designer! We are looking for a Data Scientist (Solution Design) who will support our product, sales, leadership and marketing teams with insights gained from analyzing company data. If you are adept at using large data sets to find opportunities for product and process optimization and using models to test..."
"240","data analyst","MSBA","2022-08-12","Data Analyst Technical - Staff","Intermountain Healthcare","Salt Lake City, UT","* Job Description: Currently we are unable to consider candidates for remote opportunities in the following states: California, Hawaii, Maryland, Massachusetts, New Jersey, New York, Oregon, Illinois and Washington *  The Staff level Technical Data Analyst position is focused on generating impactful solutions for customers within a defined clinical or busine..."
"241","data analyst","MSBA","2022-08-12","Senior Associate, Data Analyst Learning Deployment","KPMG","Salt Lake City, UT 84101 (Downtown area)","* Known for being a great place to work and build a career, KPMG provides audit, tax and advisory services for organizations in today’s most important industries. Our growth is driven by delivering real results for our clients. It’s also enabled by our culture, which encourages individual development, embraces an inclusive environment, rewards innovative exc..."
"242","data architect","MSIS","2022-08-12","Data Architect","LiveView Technologies","Lindon, UT 84042","* Data Architect*  *  Why LiveView Technologies: *  LiveView Technologies (LVT) is making the world a safer place and we need your help! Based in Orem Utah, LVT is the world's leader in remote security systems orchestration and data analytics. Our hardware and software platform provides unparalleled speed to delivery, no costly infrastructure upgrades and fu..."
"243","database administrator","MSIS","2022-08-12","Database Administrator III","Myriad Genetics Inc.","Salt Lake City, UT 84108 (East Bench area)","* As a Database Administrator at Myriad Genetics, you will be a key member of a team building state of the art applications utilizing cutting edge science and technology. This position will manage the integrity, reliability and scalability of the databases for our multi-tiered business application, data warehouse, and ODS. Incumbents will be asked to leverag..."
"244","security systems engineer","MSCM","2022-08-12","Associate Cybersecurity Systems Engineer","Northrop Grumman","Roy, UT 84067","* Requisition ID: R10061423 * Category: Information Technology *  Location: Roy, Utah, United States of America *  Citizenship Required: United States Citizenship *  Clearance Type: None *  Telecommute: No- Teleworking not available for this position *  Shift: 1st Shift (United States of America) *  Travel Required: Yes, 10% of the Time *  Positions Availabl..."
"245","security systems engineer","MSCM","2022-08-12","Principal / Sr. Principal Cybersecurity Systems Engineer","Northrop Grumman","Roy, UT 84067","* Requisition ID: R10061431 * Category: Information Technology *  Location: Roy, Utah, United States of America *  Citizenship Required: United States Citizenship *  Clearance Type: Secret *  Telecommute: No- Teleworking not available for this position *  Shift: 1st Shift (United States of America) *  Travel Required: Yes, 10% of the Time *  Positions Availa..."
"246","data architect","MSIS","2022-08-12","Oracle - Data & Analytics Technology - Senior Manager","PRICE WATERHOUSE COOPERS","Remote in Salt Lake City, UT 84111","* A career in Oracle consulting will provide you with the opportunity to help organisations use enterprise technology to achieve their digital technology goals and capitalise on business opportunities. We help our clients implement and effectively use Oracle offerings to solve their business problems and fuel success in the areas of finance, operations, huma..."
"247","data analyst","MSBA","2022-08-12","Medical Data Analyst","Unified Fire Authority","Salt Lake City, UT 84119","* BASIC FUNCTION OF POSITION:*  The Medical Data Analyst is responsible for performing records management processes that include maintaining the security, integrity, and accuracy of Unified Fire Authority Records. Responsible for organizing, visualizing, and reporting data to various Divisions and Stakeholders. Expected to function independently by using per..."
"248","data engineer","MSIS","2022-08-12","Data Engineer","Zartico","Salt Lake City, UT 84101 (People's Freeway area)","** Welcome to Zartico. We know applying for and taking on a new role at any company requires a leap of faith. Here are a few things about Zartico we think you should know:* *  Zartico’s Purpose: We believe tourism is a force for good because it builds connection, understanding, and appreciation of our world’s cultures, history and natural resources. We belie..."
"249","data architect","MSIS","2022-08-11","Senior Cloud Solutions Architect - Intelligent Sensors Ventu...","BCGDV","Remote in Salt Lake City, UT","* *  Digital Ventures is now part of BCG X, home to the world's best tech-build and design talent. *   We are an ever-growing global team of the world's most remarkable entrepreneurs, designers, engineers, venture architects, product experts and investors. Our ventures create a strategic advantage for the most important global companies. *   We are assisting..."
"250","database administrator","MSIS","2022-08-11","Database Administrator","CaptionCall, LLC","Salt Lake City, UT 84123","** This is a Microsoft SQL Server Database Administrator role largely responsible for providing operational database services to the organization. Some of the primary responsibilities for this role would include owning, tracking and resolving database related incidents and requests, fulfilling requests and resolving incidents within established SLAs. They wo..."
"251","data analyst","MSBA","2022-08-11","Sr. Data Analyst, Account Acquisition Strategy","CardWorks","South Jordan, UT 84095","Merrick Bank employees share in our mission to delight our customers and empower underserved consumers to achieve their credit goals. In return, we delight our associates; ensuring they are noticed, heard, appreciated and understand the importance of their role(s). For over 20 years, our Guiding Principles of; doing the right thing, putting the customer firs..."
"252","data analyst","MSBA","2022-08-11","Analyst I, Financial Planning & Analysis","CardWorks","South Jordan, UT 84095","Merrick Bank employees share in our mission to delight our customers and empower underserved consumers to achieve their credit goals. In return, we delight our associates; ensuring they are noticed, heard, appreciated and understand the importance of their role(s). For over 20 years, our Guiding Principles of; doing the right thing, putting the customer firs..."
"253","cloud engineer","MSIS","2022-08-11","Cloud Engineer","DISH","American Fork, UT 84003","* Department Summary: * *   DISH Networks is a Fortune 200 company with more than $15 billion in annual revenue that continues to redefine the communications industry. Our legacy is innovation and a willingness to challenge the status quo, including reinventing ourselves. We disrupted the pay TV industry in the mid-90s with the launch of the DISH satellite T..."
"254","data architect","MSIS","2022-08-11","Data Architect - Senior","Intermountain Healthcare","West Valley City, UT","* Job Description: A Data Architect is responsible for designing relational and dimensional databases. The Data Architect applies relational theory and business process analysis to the development of logical data models and converts these logical models into physical database objects using data modeling CASE tools. The position develops and implements enterp..."
"255","data analyst","MSBA","2022-08-11","Data Analyst Technical - Staff","Intermountain Healthcare","Salt Lake City, UT","* Job Description: The Staff level Technical Data Analyst position is focused on generating impactful solutions for customers within a defined clinical or business area. The Staff level analyst works within a team and serves as the primary analyst supporting management level leadership of a system business or clinical domain. In partnership with the Product ..."
"256","security manager","MSCM","2022-08-11","Security Manager","Noorda College of Osteopathic Medicine","Provo, UT 84606","* Noorda College of Osteopathic Medicine * Position: Security Manager * Department: Facilities & Operations*  * Full Time, * Salary: $55,000 * Location: On-site*  * Summary of Position:*  * Noorda College of Osteopathic Medicine is looking for a Security Manager to organize and oversee all security operations at the Noorda College of Osteopathic Medicine cam..."
"257","data analyst","MSBA","2022-08-11","Software Data Analyst","Pearson","Salt Lake City, UT 84190","* Software Data Analyst (entry-level) * Spotlight is a start-up California tech company recently acquired by Pearson, the global leader in educational software and publishing with 21,000 employees operating in 70 countries. We combine world-class educational content and assessment, powered by services and technology, to enable more effective teaching and per..."
"258","cloud engineer","MSIS","2022-08-11","GCP Cloud Engineer - Senior Associate","PRICE WATERHOUSE COOPERS","Remote in Salt Lake City, UT 84111+1 location","* A career in our Digital and Applications Design practice, within Application and Emerging Technology services, will provide you with a unique opportunity to help our clients identify and prioritise emerging technologies that can help solve their business problems. We help our clients design approaches to integrate new technologies, skills, and processes so..."
"259","data engineer","MSIS","2022-08-11","Senior Analytics Data Engineer (Remote)","Progressive Leasing","Draper, UT","* Job Description: *  Progressive Leasing is a leading provider of in-store and e-commerce lease-to-own solutions. As an almost 20+ year old FinTech company that has gone from start-up to industry leader, we know how to innovate, simplify, and value all people. We are a company founded on our grit and we are constantly looking to the future. As an ever-evolv..."
"260","data analyst","MSBA","2022-08-11","Quality Analyst RN - JVMC","Steward Health Care","West Jordan, UT 84088","* *  *   *    *     *      Benefits Offered *      We have many plans with various deductibles, which can cover individuals or families so you can customize a plan that will work for you! Steward Health Care works with Blue Cross Blue Shield of Massachusetts to provide affordable health insurance for our employees in benefit eligible positions. Our Health Pl..."
"261","data analyst","MSBA","2022-08-11","Data Analyst 1","The Church of Jesus Christ of Latter-day Saints","Salt Lake City, UT 84103 (Capitol Hill area)","* The Family History Department creates inspiring experiences that bring joy to all people as they discover, gather, and connect their families - past, present, and future. The Business Intelligence team exists to help internal customers understand how well we are delivering on that purpose as we measure the impact of our efforts. As an entry level position ..."
"262","data engineer","MSIS","2022-08-10","Data Visualization Engineer","Amadeus","Salt Lake City, UT 84121","* *  *   *    *     *      *       *        Job Title*       *      *     *    *   *  *  Data Visualization Engineer*  Summary of the role:*  Navitaire, an Amadeus company, is constantly trying to evolve the way the world thinks about travel. We are challenging industry norms by providing flexible systems on which our clients can deliver unequaled booking ex..."
"263","data scientist","MSBA","2022-08-10","Data Scientist","Amadeus","Salt Lake City, UT 84121","* *  *   *    *     *      *       *        Job Title*       *      *     *    *   *  *  Data Scientist* * *  *    Summary of the role*    This position will be under the Airfare & Ancillary Pricing Optimization (APO) product team at Navitaire. Airlines around the globe use APO to run and analyze randomized pricing experiments, enable rule-based and dynamic ..."
